Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%)
ABBV,AbbVie Inc,Before Market Open,2.2,,
AAL,American Airlines Group Inc,Before Market Open,1.26,,
LUV,Southwest Airlines Co,Before Market Open,1.11,,
ASB,Associated Banc-Corp,After Market Close,0.42,,
JBLU,JetBlue Airways Corp,Before Market Open,0.55,,
TEAM,Atlassian Corporation PLC,After Market Close,0.27,,
AVX,AVX Corp,Before Market Open,0.19,,
WAL,Western Alliance Bancorp,After Market Close,1.2,,
ABCB,Ameris Bancorp,Before Market Open,0.96,,
AIT,Applied Industrial Technologies Inc,Before Market Open,0.96,,
AVT,Avnet Inc,After Market Close,0.41,,
IBCP,Independent Bank Corp (Michigan),Before Market Open,0.56,,
PPBI,Pacific Premier Bancorp Inc,Before Market Open,0.61,,
CADE,Cadence Bancorp,TAS,0.45,,
NBHC,National Bank Holdings Corp,After Market Close,0.57,,
FFBC,First Financial Bancorp,After Market Close,0.53,,
BY,Byline Bancorp Inc,After Market Close,0.38,,
BANC,Banc of California Inc,Before Market Open,0.17,,
HBMD,Howard Bancorp Inc,Before Market Open,0.26,,
CFB,Crossfirst Bankshares Inc,After Market Close,0.21,,
GBCI,Glacier Bancorp Inc,After Market Close,0.6,,
SBCF,Seacoast Banking Corporation of Florida,After Market Close,0.5,,
EQBK,Equity Bancshares Inc,After Market Close,0.6,,
EWBC,East West Bancorp Inc,Before Market Open,1.16,,
CNOB,ConnectOne Bancorp Inc,Before Market Open,0.63,,
SASR,Sandy Spring Bancorp Inc,Before Market Open,0.79,,
DCOM,Dime Community Bancshares Inc,TAS,0.34,,
MSBI,Midland States Bancorp Inc,After Market Close,0.63,,
RBCAA,Republic Bancorp Inc,Before Market Open,0.84,,
RBNC,Reliant Bancorp Inc,After Market Close,0.39,,
BKU,BankUnited Inc,Before Market Open,0.72,,
BANR,Banner Corp,After Market Close,1.01,,
WTBA,West Bancorporation Inc,Before Market Open,0.44,,
HBANO,Huntington Bancshares Inc,Before Market Open,,,
COLB,Columbia Banking System Inc,Before Market Open,0.61,,
MTB,M&T Bank Corp,Before Market Open,3.46,,
ORI,Old Republic International Corp,Before Market Open,0.42,,
PGC,Peapack-Gladstone Financial Corp,Before Market Open,0.63,,
WBS,Webster Financial Corp,TAS,0.97,,
PG,Procter & Gamble Co,Before Market Open,1.37,,
TRV,Travelers Companies Inc,Before Market Open,3.21,,
ETFC,E*TRADE Financial Corp,After Market Close,0.82,,
CMCSA,Comcast Corp,Before Market Open,0.76,,
INTC,Intel Corp,After Market Close,1.25,,
CL,Colgate-Palmolive Co,Before Market Open,-0.06,,
UNP,Union Pacific Corp,Before Market Open,2.07,,
SFNC,Simmons First National Corp,Before Market Open,0.59,,
KMB,Kimberly-Clark Corp,Before Market Open,1.69,,
CSTR,Capstar Financial Holdings Inc,After Market Close,0.32,,
VFC,VF Corp,Before Market Open,1.21,,
GATX,GATX Corp,Before Market Open,1.04,,
HFWA,Heritage Financial Corp,Before Market Open,0.46,,
IBKC,IBERIABANK Corp,Before Market Open,,,
DFS,Discover Financial Services,After Market Close,2.24,,
NEP,Nextera Energy Partners LP,Before Market Open,0.17,,
NEE,NextEra Energy Inc,Before Market Open,1.49,,
FCX,Freeport-McMoRan Inc,Before Market Open,,,
SIVB,SVB Financial Group,After Market Close,4.7,,
MYFW,First Western Financial Inc,After Market Close,0.31,,
SIVBP,SVB Financial Group,After Market Close,,,
MOFG,Midwestone Financial Group Inc,After Market Close,0.83,,
FOR,Forestar Group Inc,After Market Close,0.12,,
SBFG,SB Financial Group Inc,After Market Close,0.36,,
NXGN,Nextgen Healthcare Inc,After Market Close,0.2,,
ISRG,Intuitive Surgical Inc,After Market Close,3.35,,
SWKS,Skyworks Solutions Inc,After Market Close,1.65,,
MOGA,Moog Inc,Before Market Open,,,
NVR,NVR Inc,Time Not Supplied,58.69,,
KEY,KeyCorp,Before Market Open,0.48,,
MRTN,Marten Transport Ltd,After Market Close,0.28,,
