Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%)
VNET,21Vianet Group Inc,After Market Close,-0.03,,
ATRX,Adhera Therapeutics Inc,After Market Close,,,
AFOM,All for One Media Corp,Time Not Supplied,,,
ASND,Ascendis Pharma A/S,After Market Close,-0.01,,
CRMT,America's CAR-MART Inc,After Market Close,1.81,,
ASH,Ashland Global Holdings Inc,After Market Close,0.95,,
AEGG,American Energy Group Ltd,Time Not Supplied,,,
ASTI,Ascent Solar Technologies Inc,Before Market Open,,,
AZZ,AZZ Inc,Before Market Open,,,
ADI,Analog Devices Inc,TAS,1.22,,
ASFI,Asta Funding Inc,TAS,,,
JG,Aurora Mobile Ltd,Time Not Supplied,,,
ABIL,Ability Inc,Before Market Open,,,
BRTI,Blackridge Technology International Inc,Time Not Supplied,,,
BILI,Bilibili Inc,After Market Close,-0.14,,
TWST,Twist Bioscience Corp,TAS,-0.85,,
BGI,Birks Group Inc,After Market Close,,,
BKS,Barnes & Noble Inc,Before Market Open,,,
SBSAA,Spanish Broadcasting System Inc,TAS,,,
WSG,Wanda Sports Group Co Ltd,Before Market Open,-0.13,,
AWSM,Cool Holdings Inc,After Market Close,,,
CATO,Cato Corp,Before Market Open,,,
NUANV,Nuance Communications Inc,Time Not Supplied,,,
ROYT,Pacific Coast Oil Trust,After Market Close,0.05,,
LIVC,Live Current Media Inc,After Market Close,,,
CTK,CooTek (Cayman) Inc,TAS,-0.19,,
ESL,Esterline Technologies Corp,Time Not Supplied,,,
STCC,Sterling Consolidated Corp,Time Not Supplied,,,
TCFC,Community Financial Corp(Maryland),Time Not Supplied,0.72,0.66,-8.33
NCRE,New Century Resources Corp,Time Not Supplied,,,
CBAT,CBAK Energy Technology Inc,Time Not Supplied,,,
ZTO,ZTO Express (Cayman) Inc,After Market Close,0.22,,
MGTI,MGT Capital Investments Inc,Time Not Supplied,-0.01,,
DY,Dycom Industries Inc,Before Market Open,0.72,,
DRVD,Driven Deliveries Inc,Time Not Supplied,,,
DTGI,Digerati Technologies Inc,Before Market Open,,,
KRNT,Kornit Digital Ltd,After Market Close,0.18,,
EZPW,EZCORP Inc,Time Not Supplied,0.19,,
NYNY,Empire Resorts Inc,Time Not Supplied,,,
TOMZ,TOMI Environmental Solutions Inc,Time Not Supplied,,,
SFUN,Fang Holdings Ltd,TAS,,,
FCSC,Fibrocell Science Inc,Before Market Open,-0.29,,
PHIL,PHI Group Inc,Time Not Supplied,,,
GBCS,Global Healthcare REIT Inc,Time Not Supplied,,,
IGLD,Internet Gold Golden Lines Ltd,Time Not Supplied,,,
GAXY,Galaxy Next Generation Inc,Before Market Open,,,
SNWV,SANUWAVE Health Inc,After Market Close,-0.02,,
LX,LexinFintech Holdings Ltd,Before Market Open,0.54,,
MLHC,M Line Holdings Inc,Time Not Supplied,,,
UUU,Universal Security Instruments Inc,Time Not Supplied,,,
QUES,Quest Solution Inc,Time Not Supplied,,,
QD,Qudian Inc,Before Market Open,0.47,,
ISNS,Image Sensing Systems Inc,After Market Close,,,
NPK,National Presto Industries Inc,After Market Close,,,
SINT,SINTX Technologies Inc,Before Market Open,,,
WWD,Woodward Inc,After Market Close,1.25,,
MAGS,Magal Security Systems Ltd,TAS,,,
MAGS,Magal Security Systems Ltd,Time Not Supplied,,,
NEW,Puxin Ltd,Before Market Open,,,
MANU,Manchester United PLC,TAS,-3.42,,
